                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.94021,                 0.7799,                 0.9874,                 1.7717,               0.003862,               0.003862,               0.003862
                     65,                0.94232,                 0.7809,                 0.9878,                 1.7706,               0.003763,               0.003763,               0.003763
                     66,                0.93204,                 0.7814,                 0.9876,                  1.769,               0.003664,               0.003664,               0.003664
                     67,                 0.9279,                 0.7812,                 0.9882,                 1.7679,               0.003565,               0.003565,               0.003565
                     68,                0.93413,                 0.7816,                 0.9875,                 1.7674,               0.003466,               0.003466,               0.003466
                     69,                0.91295,                 0.7822,                 0.9876,                 1.7663,               0.003367,               0.003367,               0.003367
                     70,                0.91813,                 0.7823,                  0.988,                 1.7659,               0.003268,               0.003268,               0.003268
                     71,                0.91207,                 0.7818,                 0.9885,                 1.7662,               0.003169,               0.003169,               0.003169
                     72,                0.90199,                 0.7813,                 0.9883,                 1.7661,                0.00307,                0.00307,                0.00307
                     73,                0.89616,                 0.7806,                 0.9886,                 1.7658,               0.002971,               0.002971,               0.002971
                     74,                0.89965,                 0.7822,                 0.9884,                 1.7651,               0.002872,               0.002872,               0.002872
                     75,                0.88697,                 0.7824,                 0.9878,                 1.7636,               0.002773,               0.002773,               0.002773
                     76,                0.89203,                 0.7822,                 0.9883,                 1.7616,               0.002674,               0.002674,               0.002674
                     77,                0.88848,                 0.7855,                 0.9888,                 1.7594,               0.002575,               0.002575,               0.002575
                     78,                0.88268,                 0.7877,                 0.9886,                 1.7568,               0.002476,               0.002476,               0.002476
                     79,                0.86781,                 0.7895,                 0.9888,                 1.7546,               0.002377,               0.002377,               0.002377
                     80,                0.87152,                 0.7927,                 0.9891,                 1.7518,               0.002278,               0.002278,               0.002278
                     81,                0.86126,                 0.7937,                 0.9894,                 1.7501,               0.002179,               0.002179,               0.002179
                     82,                0.86703,                 0.7932,                 0.9898,                 1.7486,                0.00208,                0.00208,                0.00208
                     83,                0.85511,                 0.7944,                 0.9895,                 1.7473,               0.001981,               0.001981,               0.001981
                     84,                 0.8433,                 0.7946,                 0.9899,                  1.746,               0.001882,               0.001882,               0.001882
                     85,                0.83168,                 0.7948,                 0.9894,                 1.7449,               0.001783,               0.001783,               0.001783
                     86,                0.82821,                  0.797,                 0.9896,                 1.7437,               0.001684,               0.001684,               0.001684
                     87,                0.82203,                 0.7978,                   0.99,                  1.743,               0.001585,               0.001585,               0.001585
                     88,                 0.8142,                 0.7984,                 0.9901,                 1.7423,               0.001486,               0.001486,               0.001486
                     89,                0.80862,                 0.7981,                 0.9903,                 1.7419,               0.001387,               0.001387,               0.001387
                     90,                0.79967,                 0.7981,                   0.99,                 1.7422,               0.001288,               0.001288,               0.001288
                     91,                0.79459,                 0.7982,                   0.99,                 1.7422,               0.001189,               0.001189,               0.001189
                     92,                 0.7807,                 0.7973,                 0.9901,                 1.7429,                0.00109,                0.00109,                0.00109
                     93,                  0.778,                  0.797,                 0.9903,                 1.7426,               0.000991,               0.000991,               0.000991
                     94,                0.77774,                 0.7955,                 0.9904,                 1.7431,               0.000892,               0.000892,               0.000892
                     95,                0.76268,                 0.7938,                 0.9902,                 1.7431,               0.000793,               0.000793,               0.000793
                     96,                  0.766,                 0.7929,                 0.9895,                 1.7438,               0.000694,               0.000694,               0.000694
                     97,                0.75565,                 0.7926,                 0.9894,                 1.7436,               0.000595,               0.000595,               0.000595
                     98,                0.73948,                 0.7924,                 0.9891,                 1.7438,               0.000496,               0.000496,               0.000496
                     99,                 0.7362,                 0.7917,                  0.989,                 1.7442,               0.000397,               0.000397,               0.000397
                    100,                0.73538,                 0.7906,                 0.9882,                 1.7446,               0.000298,               0.000298,               0.000298
